RX Pkt count,TX Pkt count
1779563,4368078
1779563,4368078
1785675,4378190
1789547,4387278
1789547,4396494
1789547,4405710
1789547,4414926
1789547,4424142
1789547,4433358
1789547,4442574
1789547,4451662
1789547,4460878
1789547,4470094
1789547,4479310
1789547,4488526
1789547,4497742
1789547,4506958
1789547,4516046
1789547,4525262
1789547,4534350
1789547,4543566
1789547,4552782
1789547,4561870
1789547,4571086
1789547,4580174
1789547,4589518
1789547,4598734
1789547,4607950
1789547,4617166
1789547,4626382
1789547,4635598
1789547,4644686
1789547,4653774
1789547,4663118
1789547,4672206
1789547,4681294
1789547,4690382
1789547,4699598
1789547,4708686
1789547,4717902
1789547,4727118
1789547,4736206
1789547,4745422
1789547,4754638
1789547,4763726
1789547,4772942
1789547,4782158
1789547,4791246
1789547,4800462
1789547,4809550
1789547,4818638
1789547,4827854
1789547,4836942
1789547,4846030
1789548,4855246
1789548,4864334
1789548,4873550
1789548,4882638
1789548,4891726
1789548,4900910
1789548,4910126
1789548,4919342
1789548,4928558
1789548,4937774
1789548,4946990
1789548,4956206
1789548,4965294
1789548,4974510
1789548,4983726
1789548,4992942
1789548,5002158
1789548,5011374
1789548,5020590
1789548,5029678
1789548,5038894
1789548,5047982
1789548,5057198
1789548,5066414
1789548,5075502
1789548,5084718
1789548,5093934
1789548,5103022
1789548,5112238
1789548,5121326
1789548,5130542
1789548,5139758
1789548,5148846
1789548,5158062
1789548,5167150
1789548,5176494
1789548,5185710
1789548,5194926
1789548,5204142
1789548,5213358
1789548,5222574
1789548,5231790
1789548,5240878
1789548,5250094
1789548,5259182
1789548,5268398
1789548,5277614
1789548,5286702
1789548,5295918
1789548,5305134
1789548,5314222
1789548,5323438
1789548,5332526
1789548,5341742
1789548,5350830
1789548,5360174
1789548,5369390
1789548,5378606
1789548,5387822
1789548,5397038
1789548,5406254
1789548,5415470
1789548,5424558
1789548,5433774
1789548,5442862
1789548,5452078
1789548,5461294
1789548,5470510
1789548,5479726
1789548,5488942
1789548,5498158
1789548,5507374
1789548,5516590
1789548,5525678
1789548,5534894
1789548,5544110
1789548,5553326
1789548,5562542
1789548,5571758
1789548,5580974
1789548,5590062
1789548,5599278
1789548,5608494
1789548,5617710
1789548,5626926
1789548,5636142
1789548,5645358
1789548,5654446
1789548,5663662
1789548,5672750
1789548,5681966
1789548,5691182
1789548,5700270
1789548,5709486
1789548,5718702
1789548,5727790
1789548,5737006
1789548,5746094
1789548,5755310
1789548,5764526
1789548,5773614
1789548,5782830
1789548,5791918
1789548,5801134
1789548,5810350
1789548,5819566
1789548,5828782
1789548,5837870
1789548,5847086
1789548,5856174
1789548,5865390
1789548,5874606
1789548,5883822
1789548,5893038
1789548,5902254
1789548,5911470
1789548,5920686
1789548,5929902
1789548,5938990
1789548,5948206
1789548,5957422
1789548,5966638
1789548,5975854
1789548,5985070
1789548,5994286
1789548,6003374
1789548,6012590
1789548,6021806
1789548,6031022
1789548,6040238
1789548,6049454
1789548,6058670
1789548,6067758
1789548,6076974
1789548,6086062
1789548,6095278
1789548,6104494
1789548,6113582
1789548,6122798
1789548,6132014
1789548,6141102
1789548,6150318
1789548,6159406
1789548,6168622
1789548,6177838
1789548,6186926
1789548,6196142
1789548,6205230
1789548,6214446
1789548,6223662
1789548,6232878
1789548,6242094
1789548,6251182
1789548,6260398
1789548,6269486
1789548,6278702
1789548,6287918
1789548,6297134
1789548,6306350
1789548,6315566
1789548,6324782
1789548,6333998
1789548,6343214
1789548,6352302
1789548,6361518
1789548,6370734
1789548,6379950
1789548,6389166
1789548,6398382
1789548,6407598
1789548,6416686
1789548,6425902
1789548,6435118
1789548,6444334
1789548,6453550
1789548,6462766
1789548,6471982
1789548,6481070
1789548,6490286
1789548,6499374
1789548,6508590
1789548,6517806
1789548,6526894
1789548,6536110
1789548,6545326
1789548,6554414
1789548,6563630
1789548,6572718
1789548,6581934
1789548,6591150
1789548,6600238
1789548,6609454
1789548,6618542
1789548,6627758
1789548,6636974
1789548,6646190
1789548,6655406
1789548,6664494
1789548,6673710
1789548,6682798
1789548,6692014
1789548,6701230
1789548,6710446
1789548,6719662
1789548,6728878
1789548,6738094
1789548,6747310
1789548,6756526
1789548,6765614
1789548,6774830
1789548,6784046
1789548,6793262
1789548,6802478
1789548,6811694
1789548,6820910
1789548,6829998
1789548,6839214
1789548,6848430
1789548,6857646
1789548,6866862
1789548,6876078
1789548,6885294
1789548,6894382
1789548,6903598
1789548,6912686
1789548,6921902
1789548,6931118
1789548,6940206
1789548,6949422
1789548,6958638
1789548,6967726
1789548,6976942
1789548,6986030
1789548,6995246
1789548,7004462
1789548,7013550
1789548,7022766
1789548,7031854
1789548,7041070
1789548,7050158
1789548,7059374
1789548,7068590
1789548,7077678
1789548,7086894
1789548,7095982
1789548,7105070