RX_counter,TX_counter
1769562,3556686
1769562,3556686
1775578,3566670
1779546,3575758
1779546,3584974
1779546,3594062
1779546,3603150
1779546,3612366
1779546,3621582
1779546,3630670
1779546,3639886
1779546,3648974
1779546,3658190
1779546,3667278
1779546,3676622
1779546,3685710
1779546,3694926
1779546,3704014
1779546,3713358
1779546,3722446
1779546,3731662
1779546,3740750
1779546,3749966
1779546,3759054
1779546,3768270
1779546,3777486
1779546,3786702
1779546,3795918
1779546,3805134
1779546,3814350
1779546,3823566
1779546,3832910
1779546,3842115
1779546,3851214
1779546,3860430
1779546,3869646
1779546,3878734
1779546,3887950
1779546,3897166
1779546,3906254
1779546,3915470
1779546,3924686
1779546,3933902
1779546,3943118
1779546,3952334
1779546,3961550
1779546,3970894
1779546,3980110
1779546,3989198
1779546,3998414
1779546,4007502
1779546,4016590
1779546,4025678
1779546,4034894
1779546,4043982
1779546,4053070
1779546,4062158
1779546,4071246
1779546,4080334
1779546,4089422
1779546,4098510
1779546,4107726
1779546,4116814
1779546,4125902
1779546,4134990
1779546,4144078
1779546,4153294
1779546,4162382
1779546,4171470
1779546,4180686
1779546,4189902
1779546,4198990
1779546,4208206
1779546,4217294
1779546,4226510
1779546,4235598
1779546,4244942
1779546,4254030
1779546,4263246
1779546,4272334
1779546,4281678
1779546,4290766
1779546,4299982
1779546,4309070
1779546,4318286
1779546,4327374
1779546,4336590
1779546,4345806
1779546,4355022
1779546,4364238
1779546,4373454
1779546,4382670
1779546,4391886
1779546,4401230
1779546,4410435
1779546,4419534
1779546,4428750
1779546,4437966
1779546,4447054
1779546,4456270
1779546,4465486
1779546,4474574
1779546,4483790
1779546,4493006
1779546,4502222
1779546,4511438
1779546,4520654
1779546,4529870
1779546,4539214
1779546,4548430
1779546,4557518
1779546,4566734
1779546,4575822
1779546,4584910
1779546,4593998
1779546,4603214
1779546,4612302
1779546,4621390
1779546,4630478
1779546,4639566
1779546,4648654
1779546,4657742
1779546,4666830
1779546,4676046
1779546,4685134
1779546,4694222
1779546,4703310
1779546,4712526
1779546,4721742
1779546,4730958
1779546,4740302
1779546,4749518
1779546,4758606
1779546,4767822
1779546,4776910
1779546,4785998
1779546,4795086
1779546,4804174
1779546,4813262
1779546,4822478
1779546,4831566
1779546,4840654
1779546,4849742
1779546,4858830
1779546,4867918
1779546,4877006
1779546,4886094
1779546,4895310
1779546,4904398
1779546,4913486
1779546,4922574
1779546,4931790
1779546,4941006
1779546,4950222
1779546,4959566
1779546,4968782
1779546,4977870
1779546,4987086
1779546,4996174
1779546,5005262
1779546,5014350
1779546,5023438
1779546,5032526
1779546,5041742
1779546,5050830
1779546,5059918
1779546,5069006
1779546,5078094
1779546,5087182
1779546,5096270
1779546,5105358
1779546,5114446
1779546,5123662
1779546,5132878
1779546,5141966
1779546,5151182
1779546,5160270
1779546,5169486
1779546,5178574
1779546,5187918
1779546,5197006
1779546,5206222
1779546,5215438
1779546,5224654
1779546,5233870
1779546,5243086
1779546,5252302
1779546,5261646
1779546,5270862
1779546,5279950
1779546,5289166
1779546,5298254
1779546,5307342
1779546,5316430
1779546,5325646
1779546,5334734
1779546,5343822
1779546,5352910
1779546,5361998
1779546,5371086
1779546,5380174
1779546,5389262
1779546,5398478
1779546,5407566
1779546,5416654
1779546,5425742
1779546,5434958
1779546,5444174
1779546,5453390
1779546,5462734
1779546,5471950
1779546,5481038
1779546,5490254
1779546,5499342
1779546,5508430
1779546,5517518
1779546,5526606
1779546,5535694
1779546,5544910
1779546,5553998
1779546,5563086
1779546,5572174
1779546,5581262
1779546,5590350
1779546,5599438
1779546,5608526
1779546,5617742
1779546,5626830
1779546,5635918
1779546,5645006
1779546,5654222
1779546,5663438
1779546,5672654
1779546,5681998
1779546,5691214
1779546,5700302
1779546,5709518
1779546,5718606
1779546,5727694
1779546,5736782
1779546,5745870
1779546,5754958
1779546,5764174
1779546,5773262
1779546,5782350
1779546,5791438
1779546,5800526
1779546,5809614
1779546,5818702
1779546,5827790
1779546,5836878
1779546,5846094
1779546,5855310
1779546,5864398
1779546,5873614
1779546,5882702
1779546,5891918
1779546,5901006
1779546,5910350
1779546,5919438
1779546,5928526
1779546,5937614
1779546,5946702
1779546,5955790
1779546,5964878
1779546,5974094
1779546,5983182
1779546,5992270
1779546,6001358
1779546,6010446
1779546,6019534
1779546,6028622
1779546,6037710
1779546,6046798
1779546,6056014
1779546,6065230
1779546,6074318
1779546,6083406
1779546,6092494
1779546,6101582
1779546,6110798
1779546,6120014
1779546,6129230
1779546,6138574
1779546,6147790
1779546,6156878
1779546,6166094
1779546,6175182
1779546,6184270
1779546,6193358
1779546,6202574
1779546,6211790
1779546,6221134
1779546,6230350
1779546,6239438
1779546,6248526
1779546,6257614
1779546,6266830
1779546,6276046
1779546,6285262